,requested,loan_purpose,credit,annual_income,apr,clicked_at
127270,2000.0,7,4,32000.0,149.0,0
110094,15000.0,4,3,145000.0,12.41,0
430082,1000.0,4,3,72000.0,98.68,0
291411,100.0,2,4,24000.0,211.0,0
290758,500.0,2,4,18000.0,149.0,0
123150,1000.0,2,4,57600.0,35.99,0
127244,9000.0,5,2,40000.0,24.48,0
421726,1000.0,2,1,24000.0,292.0,0
362644,5000.0,2,2,74000.0,11.99,0
114079,1000.0,1,1,18000.0,211.0,0
199086,1000.0,4,2,36000.0,34.99,0
445897,1000.0,2,4,24000.0,149.0,0
351182,60000.0,3,2,82500.0,14.24,0
337893,40000.0,5,2,240000.0,10.07,0
357729,20000.0,2,1,80000.0,11.89,0
355328,1000.0,2,4,30000.0,149.0,0
226336,1000.0,4,2,84000.0,64.608,0
216790,1000.0,4,2,78000.0,64.834,0
297826,3000.0,2,4,63500.0,25.22,0
208958,1000.0,2,4,48000.0,149.0,0
429833,1000.0,2,4,18000.0,35.99,0
75222,1000.0,2,1,18000.0,199.0,0
379727,500.0,2,4,120000.0,159.0,0
94270,500.0,2,4,36000.0,199.0,0
418391,1000.0,4,3,260052.0,6.94,0
223895,1000.0,4,2,45000.0,34.99,0
151740,1000.0,2,4,53208.0,149.0,0
65070,20000.0,5,3,65000.0,18.74,0
53,1000.0,2,4,60000.0,35.98,0
141183,1000.0,2,1,67200.0,115.0,0
447881,5000.0,2,2,84000.0,29.04,0
95411,800.0,2,4,60000.0,249.0,0
74985,2500.0,2,1,103200.0,149.0,0
238304,18000.0,2,3,82000.0,13.96,0
41391,5000.0,2,2,50000.0,20.81,0
243700,999.0,2,4,60000.0,159.0,0
161266,25000.0,2,3,105000.0,18.99,0
10845,1000.0,2,1,42000.0,149.0,0
445024,1000.0,2,4,72000.0,297.52,0
200746,100000.0,2,3,600000.0,12.33,0
252266,6000.0,1,1,50000.0,20.83,0
390835,300.0,8,2,85000.0,28.79,0
425834,600.0,2,4,30000.0,149.0,0
133377,1000.0,2,1,36000.0,421.967,0
201503,500.0,2,4,24000.0,149.0,0
384234,1000.0,2,1,18000.0,28.98,0
221173,20000.0,1,3,134670.0,9.586,0
43585,20000.0,2,1,62000.0,21.3,0
215603,10000.0,2,2,78000.0,29.13,0
380439,7500.0,2,2,39600.0,20.3539,0
31141,1000.0,2,1,36000.0,249.0,0
76961,1000.0,2,1,23784.0,159.0,0
183162,6000.0,9,1,60000.0,21.0,0
131220,3000.0,2,1,35004.0,199.0,0
387364,1000.0,2,4,30000.0,427.697,0
365401,800.0,2,4,18000.0,199.0,0
335151,2000.0,6,1,36000.0,208.56,0
190136,6000.0,2,3,100000.0,12.5,0
248326,5000.0,2,2,160000.0,24.35,0
379566,5000.0,4,2,100000.0,28.9,0
48031,2000.0,5,1,78000.0,149.0,0
397268,800.0,2,4,18000.0,249.0,0
173399,1000.0,4,4,162000.0,159.0,0
445439,35000.0,10,3,140000.0,13.72,0
151328,4000.0,1,1,58000.0,0.2999,0
377054,999.0,2,4,19200.0,149.0,0
224435,1000.0,2,1,72000.0,149.0,0
438681,500.0,2,4,25956.0,149.0,0
328295,2000.0,2,1,48000.0,149.0,0
254685,2000.0,2,4,86400.0,149.0,0
208839,18000.0,3,2,145000.0,13.99,0
204617,1000.0,2,4,72000.0,149.0,0
28027,10000.0,2,3,46700.0,33.3,0
146321,1000.0,4,2,30000.0,21.69,0
285201,1000.0,2,4,18000.0,149.0,0
175783,1000.0,2,4,30000.0,159.0,0
37457,5000.0,2,3,37000.0,23.99,0
40570,1000.0,2,4,36000.0,149.0,0
35725,25000.0,2,2,75000.0,12.49,0
11231,1000.0,11,4,39000.0,64.8,0
404716,800.0,2,4,24000.0,421.018,0
128832,25000.0,4,4,70000.0,25.17,0
290853,50000.0,4,1,102000.0,29.99,0
270569,500.0,2,4,54000.0,149.0,0
82490,50000.0,5,2,80000.0,16.04,0
242192,7000.0,1,2,69000.0,10.81,0
141497,7000.0,2,1,80000.0,29.71,0
401353,46344.0,3,3,159000.0,9.99,0
143507,2000.0,2,1,59160.0,23.13,0
265827,21000.0,6,3,160000.0,10.87,0
430708,10000.0,4,4,60000.0,21.25,0
57832,22500.0,3,2,115000.0,17.27,0
204099,2500.0,2,3,48000.0,27.98,0
402011,1200.0,2,3,60000.0,64.709,0
314970,7500.0,7,2,45600.0,28.68,0
3435,100000.0,5,2,343000.0,26.96,0
162551,1000.0,2,3,36000.0,98.606,0
430230,8500.0,2,2,72000.0,35.662,0
20914,2000.0,12,2,46000.0,17.29,0
454265,30000.0,3,2,45000.0,16.57,0
381519,1000.0,4,1,234000.0,25.59,0
404816,2000.0,2,1,42000.0,249.0,0
25952,5000.0,2,2,90000.0,32.89,0
187046,500.0,2,4,18000.0,199.0,0
1553,999.0,2,4,36000.0,149.0,0
82260,1000.0,2,4,48000.0,149.0,0
61684,5000.0,2,3,72000.0,18.15,0
229179,40000.0,3,2,80000.0,17.37,0
426480,500.0,2,4,36000.0,149.0,0
401798,1000.0,2,1,54000.0,249.0,0
448810,1200.0,2,1,36000.0,64.985,0
303279,5000.0,2,1,210000.0,24.91,0
127577,10000.0,2,1,147000.0,26.62,0
410534,999.0,2,4,60000.0,35.99,0
58334,1000.0,4,2,60000.0,98.926,0
430979,25000.0,2,2,82000.0,19.43,0
213869,800.0,2,4,75600.0,149.0,0
279164,11000.0,2,2,105000.0,16.95,0
350904,1000.0,2,4,19992.0,249.0,0
129086,5000.0,2,1,48000.0,26.45,0
290831,5000.0,1,1,45000.0,28.63,0
427485,19500.0,3,2,105000.0,13.27,0
144974,800.0,2,4,36000.0,159.0,0
221919,10500.0,2,1,120000.0,21.48,0
404751,5000.0,2,2,250000.0,15.46,0
65560,500.0,2,4,18000.0,149.0,0
213010,15000.0,2,1,45000.0,21.65,0
122564,25000.0,1,2,200000.0,17.23,0
297884,1000.0,2,4,60000.0,249.0,0
208559,2500.0,2,2,42000.0,27.65,0
382832,500.0,2,4,30000.0,249.0,0
78845,2000.0,2,1,36000.0,159.0,0
149774,1000.0,2,1,30000.0,208.56,0
432115,500.0,2,4,93600.0,149.0,0
334086,1000.0,4,1,18000.0,211.0,0
127291,1000.0,4,2,36000.0,98.48,0
278198,9000.0,2,3,132000.0,7.99,0
125511,5000.0,2,1,36000.0,0.24987724,0
226773,5000.0,2,4,30000.0,149.0,0
445824,500.0,2,4,36000.0,159.0,0
335666,1800.0,2,1,78000.0,64.616,0
164029,800.0,2,4,66000.0,249.0,0
70312,5000.0,2,4,55000.0,149.0,0
116515,1000.0,4,2,48000.0,99.028,0
428928,1000.0,2,1,72000.0,199.0,0
187104,1000.0,4,1,75600.0,211.0,0
218624,1000.0,2,4,60000.0,149.0,0
311726,35000.0,5,2,85000.0,24.18,0
235229,1000.0,2,4,48000.0,149.0,0
241294,1000.0,2,3,48000.0,25.11,0
137188,1000.0,2,4,72000.0,27.8,0
95250,10000.0,2,3,30000.0,29.99,0
269362,1000.0,2,4,18000.0,159.0,0
101437,1000.0,2,4,36000.0,149.0,0
17176,1000.0,2,3,72000.0,8.93,0
150359,5000.0,2,3,65000.0,20.6,0
104797,20000.0,2,1,126000.0,30.61,0
53114,40000.0,13,3,67000.0,11.475,0
379568,5000.0,4,2,100000.0,35.99,0
276316,1000.0,4,2,12000.0,25.65,0
428481,1000.0,2,1,48000.0,199.0,0
299573,1000.0,4,1,18000.0,211.0,0
445890,1000.0,2,4,48000.0,149.0,0
457732,14000.0,2,2,89000.0,14.07,0
71579,1000.0,4,2,60000.0,22.7,0
84871,1000.0,2,1,24000.0,199.0,0
58031,3000.0,4,2,66000.0,98.613,0
199525,5000.0,2,2,180000.0,11.44,0
276114,2000.0,2,1,18000.0,208.56,0
174938,2000.0,2,2,60000.0,35.99,0
150498,40000.0,7,3,94104.0,12.99,0
432018,800.0,2,4,72000.0,199.0,0
37321,5000.0,2,2,180000.0,26.5,0
164451,5000.0,10,3,111000.0,10.12,0
262372,50000.0,2,1,83765.0,28.63,0
114270,500.0,5,2,30000.0,35.99,0
380653,1000.0,2,4,36000.0,249.0,0
365682,500.0,2,4,24000.0,149.0,0
385943,1000.0,4,2,36000.0,98.61,0
304062,500.0,2,4,19200.0,149.0,0
182115,500.0,2,4,42000.0,159.0,0
123980,800.0,2,4,36000.0,159.99,0
305607,1000.0,4,2,60000.0,64.702,0
75924,800.0,2,4,18000.0,115.0,0
372697,2000.0,2,1,144000.0,29.99,0
250726,999.0,2,4,30000.0,125.0,0
139082,999.0,2,4,36000.0,149.0,0
8315,999.0,2,4,78000.0,149.0,0
440458,1000.0,2,1,40000.0,20.97,0
22960,8200.0,3,1,35000.0,29.95,0
254658,500.0,2,4,30000.0,149.0,0
354351,6000.0,2,3,100000.0,13.0,0
106522,1000.0,4,1,30000.0,292.0,0
327014,800.0,2,4,60000.0,149.0,0
451437,10000.0,5,2,125000.0,17.99,0
283197,45000.0,2,1,146000.0,14.95,0
154058,1000.0,2,4,60012.0,115.0,0
388925,999.0,2,4,54000.0,149.0,0
54970,8000.0,3,2,40500.0,17.76,0
396193,10000.0,2,2,48000.0,12.46,0
101850,3000.0,2,3,48000.0,34.99,0
6115,1000.0,2,4,48000.0,149.0,0
392579,1000.0,2,4,60000.0,199.0,0
5805,1000.0,2,1,60000.0,211.0,0
169082,10000.0,14,1,50000.0,16.24,0
140257,1000.0,2,1,30000.0,211.0,0
450845,5000.0,15,2,42000.0,14.07,0
147069,1000.0,2,1,60012.0,149.0,0
231938,20000.0,2,2,80000.0,29.33,0
316221,10000.0,4,3,70000.0,13.22,0
112901,1000.0,2,4,36000.0,211.0,0
382969,2000.0,8,4,125000.0,27.99,0
448277,25000.0,5,3,75000.0,11.04,0
173110,500.0,2,4,60000.0,149.0,0
44796,1000.0,2,1,72000.0,249.0,0
185055,1000.0,2,4,18000.0,427.426,0
216726,500.0,2,4,62400.0,149.0,0
23728,800.0,2,1,24000.0,149.0,0
430604,800.0,2,4,25008.0,429.076,0
80448,2000.0,2,1,62400.0,159.0,0
332883,1000.0,2,4,60012.0,149.0,0
376498,5000.0,2,2,85000.0,22.51,0
138345,1000.0,4,2,42000.0,34.99,0
251519,3500.0,4,4,78000.0,149.0,0
275943,10000.0,3,1,68500.0,26.98,0
28799,50000.0,2,2,63000.0,18.14,0
224415,40000.0,1,2,70000.0,28.26,0
186174,50000.0,5,3,100000.0,18.08,0
73801,1000.0,2,4,36000.0,149.0,0
205824,5000.0,2,2,43000.0,23.59,0
405847,5000.0,14,4,120000.0,0.2933,0
377782,5000.0,2,4,80000.0,159.0,0
280604,1000.0,2,1,36000.0,98.628,0
275231,10500.0,2,1,112800.0,15.29,0
57597,3000.0,2,1,108000.0,115.0,0
254633,1000.0,2,4,36000.0,159.99,0
51211,2000.0,2,1,36000.0,28.98,0
9784,1000.0,4,2,64992.0,98.184,0
231380,18000.0,14,2,60000.0,19.09,0
199929,1000.0,2,4,72000.0,34.99,0
133962,30000.0,3,2,180000.0,27.1,0
343491,40000.0,7,2,90000.0,21.05,0
92405,7000.0,5,2,49000.0,21.79,0
315842,17000.0,2,3,55000.0,12.99,0
381486,1000.0,2,4,60000.0,159.99,0
59708,3000.0,2,2,50000.0,0.24977038,0
235284,1000.0,2,4,72000.0,34.99,0
347550,1000.0,2,4,78000.0,64.712,0
408141,8500.0,4,1,65000.0,26.13,0
396872,1000.0,2,4,36000.0,149.0,0
442436,5000.0,2,2,75000.0,7.25874633789062,0
94393,1000.0,2,4,36000.0,149.0,0
324926,1000.0,2,4,36000.0,249.0,0
451006,800.0,2,4,72000.0,149.0,0
336727,800.0,2,4,51000.0,159.0,0
186435,1000.0,2,4,30000.0,149.0,0
150365,5000.0,2,3,65000.0,17.9,0
210633,500.0,2,4,30000.0,199.0,0
193351,500.0,2,4,24000.0,295.63,0
249578,15000.0,2,3,33000.0,29.25,0
315153,1000.0,2,4,18000.0,149.0,0
359936,2000.0,2,1,93000.0,24.49,0
87079,35000.0,5,2,80000.0,22.95,0
148581,1000.0,4,2,18000.0,20.28,0
386689,1000.0,2,4,36000.0,149.0,0
241011,5000.0,2,2,86000.0,26.74,0
430933,1000.0,2,4,30000.0,149.0,0
211460,5000.0,2,1,47500.0,33.33,0
203481,1000.0,4,2,36000.0,98.548,0
55374,1000.0,2,4,18000.0,149.0,0
6770,15000.0,5,1,90000.0,11.07,0
384218,5000.0,2,2,55000.0,19.93,0
120358,20000.0,3,2,60000.0,13.99,0
114172,2000.0,2,3,60000.0,20.99,0
382223,20000.0,2,1,130000.0,17.9,0
60125,5000.0,2,2,75000.0,24.97,0
386705,20000.0,2,2,32400.0,21.03,0
87562,1000.0,2,2,72000.0,25.82,0
278935,500.0,2,4,36000.0,149.0,0
71843,11000.0,4,2,65000.0,35.99,0
92242,20000.0,2,2,135000.0,29.4,0
231485,15000.0,15,3,136000.0,10.24,0
447457,1000.0,2,1,63000.0,249.0,0
308390,2000.0,2,4,30000.0,149.0,0
119649,5000.0,2,4,175000.0,20.61,0
243757,1000.0,4,2,54000.0,64.723,0
243280,1000.0,2,4,48000.0,64.722,0
322841,1000.0,2,4,36000.0,149.0,0
334469,7000.0,3,1,79500.0,33.3,0
434967,5000.0,2,2,77000.0,8.43,0
262455,20000.0,2,2,130000.0,21.06,0
82499,15000.0,3,1,120000.0,15.7,0
205816,1000.0,2,4,36000.0,149.0,0
270111,1000.0,4,2,60000.0,149.337,0
248643,18000.0,2,2,45100.0,20.92,0
335857,30000.0,2,2,760000.0,22.48,0
308312,2000.0,2,1,72000.0,149.0,0
102646,999.0,2,4,60000.0,149.0,0
73930,12000.0,3,3,130000.0,12.99,0
376499,5000.0,2,2,85000.0,24.54,0
96391,800.0,2,4,24000.0,159.0,0
327038,50000.0,2,3,130000.0,12.71,0
213160,800.0,2,4,54000.0,149.0,0
340626,999.0,2,4,78000.0,149.0,0
311607,1000.0,4,2,36000.0,98.862,0
365842,2000.0,4,4,40000.0,159.0,0
95215,999.0,2,4,60000.0,99.0,0
230191,1000.0,4,2,30000.0,98.842,0
90520,999.0,2,4,36000.0,149.0,0
128647,500.0,2,4,60000.0,35.99,0
228253,7500.0,2,1,35100.0,22.5097,0
139012,5000.0,2,2,100000.0,15.18,0
214408,25000.0,5,1,200000.0,33.64,0
427481,19500.0,3,2,105000.0,13.4,0
122512,10000.0,1,2,30000.0,27.02,0
175924,999.0,2,4,36000.0,149.0,0
255129,2500.0,6,1,33000.0,149.0,0
294717,1000.0,4,4,42000.0,159.0,0
248732,17000.0,5,2,142000.0,11.67,0
51934,1000.0,2,4,24000.0,149.0,0
268501,7500.0,3,1,56216.0,0.3599,0
283349,7700.0,3,2,40000.0,25.631,0
364062,5000.0,2,2,65000.0,23.51,0
302990,1000.0,2,4,30000.0,149.0,0
383176,500.0,2,2,18000.0,292.0,0
242503,1000.0,2,4,36000.0,149.0,0
285902,1000.0,2,4,25200.0,149.0,0
9106,1000.0,4,2,78000.0,34.86,0
137819,5000.0,2,1,63000.0,27.99,0
38322,1000.0,2,1,36000.0,211.0,0
81857,2000.0,2,1,66000.0,35.99,0
321599,10000.0,2,2,165000.0,17.18,0
106634,10000.0,15,3,51000.0,10.67,0
276177,1000.0,2,2,72000.0,28.68,0
443221,5000.0,7,1,55008.0,149.0,0
93808,500.0,2,4,36000.0,175.0,0
64250,800.0,2,4,36000.0,249.0,0
247022,15000.0,2,2,160000.0,17.23,0
274936,10500.0,2,2,80000.0,23.48,0
263443,15000.0,4,2,50000.0,17.49,0
139869,1500.0,2,1,72000.0,27.8,0
109696,1000.0,4,2,36000.0,64.8,0
227122,1000.0,2,4,72000.0,149.0,0
41759,1000.0,4,2,108000.0,31.02,0
399182,800.0,2,4,42000.0,149.0,0
289626,999.0,2,4,24000.0,159.0,0
126847,999.0,2,4,30000.0,149.0,0
356108,999.0,2,4,30000.0,149.0,0
127403,20000.0,2,2,60000.0,9.8,0
376320,11000.0,3,3,48864.0,8.703,0
86611,15000.0,5,3,81500.0,17.34,0
58608,1000.0,2,1,48000.0,64.717,0
98287,1000.0,2,4,36000.0,149.0,0
146028,600.0,2,4,78000.0,149.0,0
52881,10000.0,2,2,78000.0,20.03,0
248401,1000.0,2,4,36000.0,159.0,0
10683,13000.0,5,2,108000.0,22.55,0
415533,10000.0,5,3,130000.0,19.61,0
344060,500.0,2,4,30000.0,249.0,0
457681,2000.0,4,1,54000.0,149.0,0
384686,30000.0,2,2,125000.0,28.56,0
178533,500.0,2,4,24000.0,159.0,0
292568,14000.0,2,4,60000.0,17.27,0
214140,1000.0,2,1,48000.0,149.0,0
406193,1000.0,2,4,28800.0,149.0,0
36352,1000.0,2,4,42000.0,149.0,0
14714,1000.0,2,1,30000.0,21.69,0
327641,20000.0,3,2,307000.0,19.4,0
102360,12000.0,3,2,83544.0,0.2499,0
306010,1000.0,4,2,57600.0,24.57,0
405167,1000.0,4,2,42000.0,98.525,0
366813,800.0,2,4,42000.0,149.0,0
299096,1000.0,2,4,72000.0,149.0,0
345240,2000.0,1,2,79200.0,64.756,0
245054,5000.0,3,4,69000.0,0.2842,0
174916,1000.0,1,2,60000.0,33.64,0
418470,2500.0,2,1,79200.0,159.0,0
44704,40000.0,2,3,180000.0,28.12,0
25,50000.0,15,2,65000.0,15.02,0
132945,1000.0,4,2,78000.0,98.863,0
108603,10000.0,2,2,35000.0,20.87,0
78070,5000.0,2,1,150000.0,33.66,0
312692,2000.0,2,1,54000.0,64.631,0
295106,25000.0,4,2,130000.0,14.29,0
386464,1000.0,4,1,42000.0,149.0,0
23033,1000.0,4,2,42000.0,98.729,0
404132,1000.0,2,4,24000.0,149.0,0
121114,800.0,2,4,60000.0,199.0,0
97526,1000.0,2,4,45000.0,149.0,0
224942,15000.0,2,2,70000.0,12.48,0
345069,1000.0,4,2,72000.0,13.55,0
445683,25000.0,2,1,108000.0,25.22,0
362915,1000.0,4,2,72000.0,98.668,0
257526,1000.0,2,1,36000.0,175.0,0
11471,10000.0,2,2,50000.0,32.99,0
27875,999.0,2,4,60000.0,199.0,0
261509,2000.0,2,1,120000.0,175.0,0
213419,1000.0,2,1,60000.0,98.444,0
400749,2000.0,5,1,24000.0,98.293,0
430021,2500.0,2,1,50400.0,249.0,0
408259,1000.0,2,4,103200.0,149.0,0
212557,500.0,2,4,24000.0,21.49,0
36973,2000.0,5,1,65000.0,27.98,0
248040,1000.0,2,4,72000.0,149.0,0
48439,500.0,2,4,81600.0,199.0,0
162458,1700.0,2,1,36000.0,149.0,0
130430,800.0,2,4,36000.0,149.0,0
107932,999.0,2,4,78000.0,199.0,0
57869,500.0,4,2,54804.0,30.83,0
167034,5000.0,2,1,78000.0,149.0,0
341605,800.0,2,4,48000.0,149.0,0
43475,1000.0,4,2,36000.0,64.754,0
92503,40000.0,2,2,102000.0,23.5,0
403854,14000.0,2,1,155000.0,31.97,0
377770,5000.0,1,1,50000.0,149.0,0
386123,5000.0,2,3,72000.0,64.756,0
165963,1000.0,2,1,60000.0,99.0,0
367428,1000.0,2,4,36000.0,159.0,0
69772,800.0,2,4,30000.0,149.0,0
284236,10000.0,2,2,92000.0,20.66,0
401528,35000.0,2,2,75000.0,26.99,0
419701,1000.0,2,1,85008.0,211.0,0
289734,800.0,2,2,48000.0,149.0,0
333377,500.0,2,4,48000.0,149.0,0
68429,20000.0,2,2,60000.0,35.99,0
266560,4500.0,5,3,60000.0,64.994,0
184550,3000.0,4,4,30000.0,249.0,0
411125,500.0,2,4,36000.0,149.0,0
447887,5000.0,2,2,84000.0,18.29,0
375456,5000.0,2,2,88000.0,10.579,0
178091,1000.0,6,4,234000.0,159.0,0
257205,500.0,2,4,66000.0,149.0,0
142472,1000.0,2,4,36000.0,159.0,0
251985,800.0,2,4,24000.0,159.0,0
242527,1000.0,2,1,36000.0,249.0,0
246932,2000.0,2,1,36000.0,149.0,0
440449,1000.0,2,1,40000.0,21.79,0
216299,1000.0,2,4,36000.0,149.0,0
457807,1000.0,4,2,57600.0,24.57,0
291051,4000.0,4,1,60000.0,149.0,0
170105,5000.0,2,3,106000.0,9.038,0
274026,4000.0,2,4,72000.0,159.0,0
345117,500.0,2,4,24000.0,149.0,0
428839,999.0,2,4,78000.0,249.0,0
253669,1000.0,2,1,129600.0,23.87,0
196435,5000.0,2,2,90000.0,17.29,0
377530,20000.0,3,2,75880.0,0.30058573,0
451650,2500.0,2,1,42000.0,208.56,0
256441,8000.0,1,2,35000.0,35.95,0
366223,6600.0,3,3,55000.0,36.0,0
182349,1000.0,2,4,79200.0,149.0,0
309741,3000.0,15,4,88000.0,31.8,0
417738,1000.0,2,1,15000.0,199.0,0
384846,40000.0,2,1,120000.0,19.49,0
161151,2500.0,13,2,20145.0,12.5,0
140958,38000.0,3,1,64000.0,30.54,0
152157,10000.0,3,1,78000.0,26.99,0
88321,1000.0,4,2,36000.0,22.76,0
35918,5000.0,2,1,45000.0,24.49,0
250827,15000.0,1,2,44720.0,34.99,0
414611,1000.0,2,1,36000.0,208.56,0
235245,500.0,2,4,79200.0,149.0,0
116030,25000.0,3,2,85500.0,26.85,0
180058,3500.0,5,2,50000.0,19.43,0
327151,2000.0,2,2,60000.0,98.643,0
33421,1000.0,2,3,72000.0,25.25,0
403499,2000.0,2,4,87600.0,29.99,0
441700,18000.0,2,1,65000.0,29.25,0
4785,1000.0,2,1,36000.0,199.0,0
167975,2000.0,16,4,162000.0,159.0,0
445045,7500.0,3,2,13956.0,28.57,0
355908,3000.0,2,1,234000.0,25.0,0
76904,32000.0,5,2,97000.0,10.33,0
449172,800.0,2,4,27000.0,149.0,0
67714,3500.0,1,5,32000.0,149.0,0
23518,800.0,2,4,48000.0,149.0,0
392133,1000.0,2,3,48000.0,27.65,0
388268,1000.0,2,4,60000.0,149.0,0
45680,1000.0,4,3,72000.0,11.51,0
212531,1000.0,4,2,78000.0,28.68,0
451503,500.0,2,4,21600.0,149.0,0
64364,1000.0,14,2,60000.0,35.671,0
346232,5000.0,2,4,56000.0,0.3599,0
64405,1000.0,2,4,60000.0,36.0,0
292762,5000.0,2,2,72500.0,19.5,0
21737,500.0,2,4,26400.0,149.0,0
395963,100.0,2,1,24000.0,208.56,0
240906,1000.0,2,4,60000.0,149.0,0
440548,800.0,2,4,30000.0,159.0,0
414053,5000.0,14,2,35000.0,32.99,0
130110,1000.0,4,2,60000.0,26.62,0
395208,1500.0,4,4,25008.0,149.0,0
191392,10000.0,1,2,112000.0,33.43,0
105007,8000.0,2,2,26000.0,35.99,0
394863,5000.0,2,4,46360.0,22.22,0
354033,17000.0,3,2,83500.0,16.35,0
399026,500.0,2,4,78000.0,159.0,0
150179,15000.0,6,2,58000.0,9.99,0
59285,17000.0,2,3,63000.0,12.96,0
421148,20000.0,1,3,25000.0,10.37,0
40769,21000.0,3,2,70000.0,9.16,0
434956,800.0,2,4,60000.0,249.0,0
327996,30000.0,3,2,75000.0,25.26,0
457180,25000.0,3,2,90000.0,29.53,0
289756,1000.0,2,4,72000.0,34.99,0
281445,2500.0,2,2,36000.0,25.99,0
206347,2000.0,5,1,30000.0,64.719,0
92627,999.0,2,4,78000.0,199.0,0
115099,1000.0,6,4,66000.0,249.0,0
391296,3000.0,16,2,42000.0,98.797,0
448218,2000.0,2,1,36000.0,149.0,0
256116,20000.0,1,2,100000.0,16.93,0
117482,999.0,2,4,96000.0,149.0,0
226287,5000.0,7,3,35000.0,18.47,0
171267,2000.0,2,1,18000.0,149.0,0
154231,1000.0,4,2,78000.0,97.843,0
227380,1000.0,2,4,54000.0,149.0,0
57434,500.0,2,4,36000.0,35.98,0
31673,2000.0,2,1,24000.0,35.548,0
239105,15000.0,3,2,45000.0,15.48,0
231995,40000.0,2,3,96000.0,14.25,0
309294,500.0,2,4,54000.0,149.0,0
16347,12000.0,3,2,85000.0,28.22,0
177796,1000.0,2,4,18000.0,149.0,0
168478,1000.0,2,4,60000.0,149.0,0
384782,999.0,2,4,36000.0,149.0,0
402563,12000.0,4,2,42000.0,24.07,0
188274,20000.0,5,3,500000.0,12.23,0
99607,3000.0,6,4,54000.0,149.0,0
253168,20000.0,2,2,75000.0,29.74,0
305826,500.0,2,4,48000.0,149.0,0
414748,3500.0,2,4,66000.0,149.0,0
396576,10500.0,2,2,58000.0,17.29,0
143743,25000.0,1,2,73000.0,29.69,0
26904,1000.0,2,4,72000.0,159.0,0
158184,5000.0,13,2,75000.0,19.08,0
29,500.0,2,4,18000.0,292.0,0
60731,800.0,2,4,36000.0,159.0,0
127567,10000.0,2,1,147000.0,64.784,0
393610,20000.0,2,2,150000.0,21.48,0
